ALL CAPS AND RESISTORS ARE SMD 0805 SIZE,,,
Capacitors,,,Rough price in usd
,,,
c1,0.1uf,,
c2,10uf,,
c3,47uf,,
c4,22uf,,
c5,22uf,,
c6,10uf,,
,,,
Resistors,,,
,,,
R1,1K,,
R2,1K,,
R3,1K,,
R4,1K,,
R5,100 ohm,,
R6,16K,,
R7,2.2K,,
,,,
IC'S,Footprint,,
,,,
TP4056,SOP8,,1
FS8205A,SOP65P640X120-8N,,This and dw01a for
DW01A,SOT-23-6,,4.67
MT3608,SOT-23-6,,2
,,,
2.54mm PIN HEADERS,,,
,,,
1x2,2,,Kit for 5.34
1x3,1,,
1x6,2,,
1x8,1,,
,,,
Diodes,,,
,,,
SS34,1,,
0805 LED,2,,
,,,
Inductors,,,
22uH ,10x10x4,,
,,,
Connectors,,,
jts tht 1x2 2.0mm horizontal,,,4.74
,,,
other items,,,
Raspberry Pi Pico,,,6.6
Micro SD card breakout,,,2
GY-91 Breakout,,,10.6
